constants for pmt5 and pmt4 represent the average of the two constants of the two signals for that pmt. for example, module1 pmt5 has two signals. a calib constant was determined for each signal and then averaged to provide one constant for mod1's pmt5.
mod	Pmt5	Pmt4	Pmt3	Pmt2	Pmt12	Pmt13
1	1.02392	1.03148	1.00972	1.02193	0.422834	1.04743
2	0.92568	0.979639	0.973461	0.969096	0.799679	1.01011
3	1.03217	1.05548	0.983909	0.994489	1.21247	1.07339
4	1.00807	0.998186	0.979904	0.966911	1.45886	1.17496
5	1.03983	1.04942	1.05561	1.02719	0.935677	0.883325
6	0.993713	0.972343	0.994644	1.00159	1.3314	1.04478
7	0.974646	0.957306	0.962628	0.94069	1.01646	1.0205
8	0.985916	0.96965	1.01079	1.05388	0.882805	1.2047
9	0.986274	0.992321	1.04076	1.0164	0.79996	1.19673
10	0.944713	0.956001	0.97907	0.979515	1.04211	1.17147
11	1.04088	1.02682	1.01754	0.987892	0.885334	0.938486
12	0.976089	0.977857	1.03842	0.984347	1.0517	0.781873
13	1.02384	0.972522	0.99492	1.01692	0.989425	0.797846
14	1.02143	0.964917	0.988437	0.973004	1.04151	1.07158
15	0.995223	0.972514	0	0	0.699125	0.645586
16	1.03098	0.988991	0.980146	1.02202	1.21073	0.90933
17	0.931231	0.981152	0.990975	1.013	1.1156	1.19669
18	1.01417	1.02672	1.01129	1.01042	0.953965	1.08144
19	0.959664	1.00439	1.00028	1.01657	0.949677	1.02012
20	1.00383	0.982175	0.983628	0.997689	1.01044	1.02365
21	0.987226	0.977466	1.02851	1.03106	0.887629	1.06399
22	0.962139	0.986893	0.988326	1.01283	1.07701	0.991033
23	1.04273	1.03716	1.01443	0.995048	1.1618	1.08595
24	0.959571	0.959848	0.972901	0.979684	1.17909	0.966517
25	1.01685	0.992643	0.995248	1.04011	1.18085	0.929382
26	0.971762	0.971525	1.01296	0.98555	0.887816	0.345295
27	0.941444	0.917383	0.953645	1.00359	1.05285	1.13531
28	1.05209	1.01046	1.00556	0.992297	1.10649	1.06314
29	1.01687	1.01381	0.991086	0.97612	1.13254	1.3744
30	1.02381	0.98114	0.987116	0.993094	0.990071	1.00799
31	0.948656	1.02115	0.977305	0.996551	0.559633	0.968373
32	1.01369	1.02701	1.01866	0.991508	1.11322	1.11718
33	1.02943	1.02207	1.02206	0.964726	1.07557	0.997031
34	1.01227	0.997854	1.02612	1.00604	1.15766	1.22192
35	0.977549	0.947069	0.973666	0.975482	1.27282	1.11252
36	1.02697	1.02342	0.99564	1.0269	1.21301	0.799531
37	1.009	1.04382	0.988446	0.997358	0.980794	0.95294
38	1.001	0.952002	1.02964	0.964726	0.974777	1.21956
39	0.984755	0	0.974371	0.967892	0.407749	0
40	0	0	0	0	0	0
41	1.07812	0	1.00449	0.97747	1.04064	0
42	0.927399	0	1.01203	1.00722	0.854631	1.08468
43	1.01941	1.01372	0.958579	0.9775	0.839013	1.31507
44	1.0269	1.03156	0.997362	0.994904	1.22854	0.971524
45	0.967344	0.929111	0.952745	1.01058	0.984232	1.14822
46	0.981906	0.986048	1.01224	1.02755	1.20235	0.911705
47	1.00786	1.00472	0.996152	0.960737	0.885138	1.21246
48	1.02946	1.06504	1.01173	0.996482	0.994347	0
49	1.03302	1.08076	0.969885	1.00754	0.836047	0.906561
50	0.994344	0.989944	0.998383	1.02707	1.05035	0.272486
51	0.947186	0.990615	1.05736	0.994552	1.2611	1.04667
52	0.975388	0.987788	1.00748	1.00568	1.16025	1.20013
53	1.00544	1.10196	1.00503	1.01696	1.12759	0.883681
54	1.02311	0.998948	0.986287	1.00087	0.892914	1.06814
55	0.825692	0	0.967872	1.03664	0.690153	0.846234
56	1.23857	0	1.02186	1.00037	0.763473	0.868167
57	0.94195	0	1.01426	1.00713	0.869411	0.843606
58	0	0	0	0	0	0
59	1.00017	0.994659	0.982721	1.00656	0.933148	1.19522
60	0.95352	0.984445	1.06365	1.00565	0.790415	0.722647
61	1.0118	0.957991	1.00539	1.00772	1.13584	0.772606
62	1.02976	1.06629	1.01205	1.00124	1.02336	1.05488
63	0.983778	0.987765	0.992873	1.03729	1.23643	0.851781
64	1.01582	1.007	1.01776	0.998154	0.979467	1.17746
