mod	C10:Pmt5	D4:Pmt4	D4:Pmt3	D4:Pmt2	E1:Pmt12	E2:Pmt13
1	1038.29	1051.23	1277.51	1296.36	336.029	919.79
2	939.239	998.632	1231.64	1229.34	635.51	887.016
3	1046.5	1075.95	1244.86	1261.56	963.559	942.588
4	1022.4	1017.39	1239.79	1226.57	1159.36	1031.78
5	1059.44	1075.81	1335.57	1303.04	743.588	775.682
6	1011.07	992.232	1258.44	1270.57	1058.07	917.458
7	989.163	976.077	1217.93	1193.31	807.787	896.138
8	1000.64	994.443	1278.87	1336.89	701.571	1057.89
9	1000.34	1011.38	1316.79	1289.35	635.733	1050.9
10	959.787	978.06	1238.73	1242.56	828.172	1028.71
11	1055.36	1046.21	1287.41	1253.19	703.581	824.12
12	990.399	996.721	1313.83	1248.69	835.789	686.592
13	1039.52	992.276	1258.79	1290.02	786.303	700.619
14	1035.67	983.613	1014.46	1019.45	827.694	940.992
15	1009.45	991.74	0	0	555.599	566.914
16	1046.57	1008.7	1240.1	1296.49	962.174	798.517
17	944.167	999.669	1253.8	1285.04	886.575	1050.86
18	1028.26	1046.14	1037.91	1058.66	758.122	949.658
19	973.776	1023.35	1026.61	1065.1	754.714	895.807
20	1019.74	1002.95	1244.5	1265.61	803.004	898.911
21	1017.92	1010.75	1301.28	1307.95	705.404	934.327
22	981.815	1009.26	1250.45	1284.83	855.91	870.264
23	1057.59	1056.74	1283.47	1262.26	923.292	953.614
24	979.358	981.963	1230.93	1242.77	937.031	848.736
25	1032.5	1013.67	1259.2	1319.43	938.429	816.126
26	987.818	991.467	1281.62	1250.22	705.553	303.217
27	954.847	935.187	1206.57	1273.11	836.703	996.958
28	1068.89	1031.68	1272.25	1258.77	879.337	933.583
29	1034.88	1037.47	1253.94	1238.25	900.039	1206.91
30	1038.39	1000.38	1248.91	1259.79	786.816	885.156
31	968.944	1040.45	1236.5	1264.17	444.744	850.365
32	1030.57	1047.3	1288.82	1257.77	884.683	981.043
33	1043.85	1041.36	1293.12	1223.8	854.764	875.531
34	1027.14	1017.15	1298.26	1276.21	920.003	1073.02
35	991.428	964.97	1231.9	1237.44	1011.52	976.945
36	1041.3	1043.24	1259.7	1302.68	963.983	702.099
37	1023.01	1063.66	1250.6	1265.19	779.443	836.813
38	1014.91	970.086	1302.72	1223.8	774.661	1070.94
39	549.625	0	1232.79	1227.82	324.041	0
40	0	0	0	0	0	0
41	601.852	0	1270.9	1239.97	827.004	0
42	517.764	0	1280.43	1277.7	679.181	952.499
43	1033.57	1033.1	1212.81	1240	666.769	1154.81
44	1042.01	1052.3	1261.88	1262.08	976.328	853.132
45	982.215	947.623	1205.43	1281.96	782.176	1008.3
46	995.689	1004.71	1280.71	1303.5	955.511	800.603
47	1023.78	1026.18	1260.35	1218.74	703.425	1064.71
48	1044.45	1085.5	1280.06	1264.08	790.214	0
49	1047.48	1101.47	1227.11	1278.11	664.412	796.086
50	1008.18	1009.16	1263.17	1302.89	834.72	239.28
51	962.43	1010.69	1337.79	1261.63	1002.2	919.123
52	990.988	1008.56	1274.68	1275.76	922.057	1053.88
53	1019.6	1122.76	1271.58	1290.06	896.106	775.994
54	1037.56	1017.86	1247.87	1269.65	709.604	937.974
55	460.814	0	1224.57	1315.02	548.469	743.11
56	690.687	0	1292.88	1269.01	606.737	762.371
57	525.536	0	1283.26	1277.59	690.927	740.803
58	0	0	0	0	0	0
59	1014.33	1013.44	1243.35	1276.87	741.579	1049.57
60	967.61	1003.19	1345.75	1275.72	628.147	634.584
61	1027.27	977.7	1272.03	1278.35	902.657	678.455
62	1044.18	1087.03	1280.47	1270.11	813.274	926.327
63	999.755	1009.1	1256.2	1315.86	982.602	747.981
64	1031.39	1027.05	1287.69	1266.2	778.388	1033.97
